number,Origin Queues,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15,case16
11,"Q1_1_2,Q2_12",F4,"Q1_F,Q2_1_2","Q1_F,Q2_1_2","Q1_F,Q2_1_2","Q1_F,Q2_12","Q1_F,Q2_12","Q1_F,Q2_12","Q1_1_2,Q2_2_1","Q1_1_2,Q2_1_2","Q1_1_2,Q2_F","Q1_1_2,Q2_1_2","Q1_1_2,Q2_F","Q1_1_2,Q2_2_1","Q1_1_2,Q2_12","Q1_1_2,Q2_2_1","Q1_1_2,Q2_12"
12,"Q1_2_1,Q2_12",F2,"Q1_2_1,Q2_1_2","Q1_2_1,Q2_F","Q1_2_1,Q2_1_2","Q1_2_1,Q2_12","Q1_F,Q2_12","Q1_2_1,Q2_2_1","Q1_F,Q2_2_1","Q1_2_1,Q2_1_2","Q1_2_1,Q2_F","Q1_2_1,Q2_1_2","Q1_2_1,Q2_F","Q1_2_1,Q2_2_1","Q1_F,Q2_12","Q1_F,Q2_2_1","Q1_2_1,Q2_12"
13,"Q1_12,Q2_2",F3,"Q1_2_1,Q2_F",F6,"Q1_2_1,Q2_F","Q1_2_1,Q2_2","Q1_F,Q2_2","Q1_2_1,Q2_12","Q1_F,Q2_12","Q1_F2,Q2_F","Q1_F2,Q2_F","Q1_F2,Q2_F","Q1_F2,Q2_F","Q1_F2,Q2_2_1","Q1_1_2,Q2_2","Q1_1_2,Q2_2_1","Q1_F2,Q2_2"
14,"Q1_12,Q2_2_1",F2,"Q1_2_1,Q2_F","Q1_2_1,Q2_F","Q1_2_1,Q2_F","Q1_2_1,Q2_2_1","Q1_F,Q2_2_1","Q1_2_1,Q2_2_1","Q1_F,Q2_2_1","Q1_F2,Q2_F","Q1_F2,Q2_F","Q1_F2,Q2_F","Q1_1_2,Q2_2_1","Q1_F2,Q2_2_1","Q1_1_2,Q2_2_1","Q1_1_2,Q2_2_1","Q1_F2,Q2_2_1"
15,"Q1_12,Q2_1_2",F4,"Q1_F,Q2_1_2","Q1_2_1,Q2_1_2","Q1_2_1,Q2_1_2","Q1_2_1,Q2_1_2","Q1_F,Q2_1_2","Q1_2_1,Q2_1_2","Q1_F,Q2_1_2","Q1_F2,Q2_1_2","Q1_F2,Q2_F","Q1_1_2,Q2_1_2","Q1_1_2,Q2_F","Q1_F2,Q2_F","Q1_1_2,Q2_1_2","Q1_1_2,Q2_F","Q1_F2,Q2_1_2"
16,"Q1_12,Q2_12",F3,F5,F6,"Q1_2_1,Q2_1_2","Q1_2_1,Q2_12","Q1_F,Q2_12","Q1_2_1,Q2_12",F7,"Q1_F2,Q2_1_2","Q1_F2,Q2_F","Q1_F2,Q2_1_2",F8,"Q1_F2,Q2_2_1","Q1_1_2,Q2_12","Q1_1_2,Q2_2_1","Q1_F2,Q2_12"
17,"Q1_c1,Q2_12","Q1_c1,Q2_c1","Q1_2_1,Q2_1_2","Q1_2_1,Q2_1_2","Q1_2_1,Q2_1_2","Q1_2_1,Q2_12","Q1_F,Q2_12","Q1_c1,Q2_12","Q1_1_2,Q2_2_1","Q1_c1,Q2_1_2","Q1_c1,Q2_F","Q1_F2,Q2_c1","Q1_1_2,Q2_2_1","Q1_c1,Q2_2_1","Q1_1_2,Q2_12","Q1_1_2,Q2_2_1","Q1_c1,Q2_12"
18,"Q1_c1,Q2_2","Q1_c1,Q2_c1","Q1_2_1,Q2_F","Q1_2_1,Q2_1_2","Q1_2_1,Q2_F","Q1_2_1,Q2_2","Q1_F,Q2_2","Q1_c1,Q2_12","Q1_F,Q2_12","Q1_c1,Q2_F","Q1_c1,Q2_F","Q1_F2,Q2_F","Q1_F2,Q2_F","Q1_c1,Q2_2_1","Q1_1_2,Q2_2","Q1_1_2,Q2_2_1","Q1_c1,Q2_2"
19,"Q1_c1,Q2_1_2","Q1_1_2,Q2_F","Q1_F,Q2_1_2","Q1_F2,Q2_F","Q1_2_1,Q2_1_2","Q1_2_1,Q2_1_2","Q1_F,Q2_1_2","Q1_F2,Q2_F","Q1_F,Q2_1_2","Q1_c1,Q2_1_2","Q1_c1,Q2_F","Q1_1_2,Q2_1_2","Q1_1_2,Q2_F","Q1_c1,Q2_F","Q1_1_2,Q2_1_2","Q1_1_2,Q2_F","Q1_c1,Q2_1_2"
20,"Q1_c1,Q2_2_1","Q1_F,Q2_2_1","Q1_2_1,Q2_F","Q1_2_1,Q2_F","Q1_2_1,Q2_F","Q1_2_1,Q2_2_1","Q1_F,Q2_2_1","Q1_2_1,Q2_2_1","Q1_F,Q2_2_1","Q1_c1,Q2_F","Q1_c1,Q2_F","Q1_F2,Q2_F","Q1_F2,Q2_F","Q1_c1,Q2_2_1","Q1_1_2,Q2_2_1","Q1_1_2,Q2_2_1","Q1_c1,Q2_2_1"
21,"Q1_c1,Q2_c1","Q1_c1,Q2_c1","Q1_2_1,Q2_1_2","Q1_2_1,Q2_1_2","Q1_2_1,Q2_1_2","Q1_2_1,Q2_c1","Q1_F,Q2_c1","Q1_c1,Q2_12","Q1_1_2,Q2_2_1","Q1_c1,Q2_1_2","Q1_c1,Q2_F","Q1_F2,Q2_c1","Q1_1_2,Q2_2_1","Q1_c1,Q2_2_1","Q1_1_2,Q2_c1","Q1_1_2,Q2_2_1","Q1_c1,Q2_c1"
22,"Q1_12,Q2_c1","Q1_c1,Q2_c1","Q1_2_1,Q2_1_2","Q1_2_1,Q2_1_2","Q1_2_1,Q2_1_2","Q1_2_1,Q2_c1","Q1_F,Q2_c1","Q1_c1,Q2_12","Q1_1_2,Q2_2_1","Q1_F2,Q2_1_2","Q1_F2,Q2_F","Q1_F2,Q2_c1","Q1_1_2,Q2_2_1","Q1_F2,Q2_2_1","Q1_1_2,Q2_c1","Q1_1_2,Q2_2_1","Q1_F2,Q2_c1"
23,"Q1_1,Q2_c1","Q1_c1,Q2_c1","Q1_2_1,Q2_1_2","Q1_F,Q2_1_2","Q1_F,Q2_1_2","Q1_F,Q2_c1","Q1_F,Q2_c1","Q1_F,Q2_12","Q1_F,Q2_12","Q1_1,Q2_1_2","Q1_1,Q2_F","Q1_F2,Q2_c1","Q1_F2,Q2_F","Q1_1,Q2_2_1","Q1_1_2,Q2_c1","Q1_1_2,Q2_2_1","Q1_1,Q2_c1"
24,"Q1_1_2,Q2_c1","Q1_1_2,Q2_F","Q1_F,Q2_1_2","Q1_F,Q2_1_2","Q1_F,Q2_1_2","Q1_F,Q2_c1","Q1_F,Q2_c1","Q1_F,Q2_12","Q1_F,Q2_12","Q1_1_2,Q2_1_2","Q1_1_2,Q2_F","Q1_1_2,Q2_1_2","Q1_1_2,Q2_F","Q1_1_2,Q2_2_1","Q1_1_2,Q2_c1","Q1_1_2,Q2_2_1","Q1_1_2,Q2_c1"
25,"Q1_2_1,Q2_c1","Q1_F,Q2_2_1","Q1_F,Q2_12","Q1_2_1,Q2_F","Q1_2_1,Q2_1_2","Q1_2_1,Q2_c1","Q1_F,Q2_c1","Q1_2_1,Q2_2_1","Q1_F,Q2_2_1","Q1_2_1,Q2_1_2","Q1_2_1,Q2_F","Q1_F,Q2_12","Q1_2_1,Q2_F","Q1_2_1,Q2_2_1","Q1_F,Q2_c1","Q1_F,Q2_2_1","Q1_2_1,Q2_c1"
26,"Q1_12,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_2_1,Q2_F","Q1_2_1,Q2_F","Q1_2_1,Q2_F","Q1_F,Q2_F","Q1_2_1,Q2_F","Q1_F,Q2_F","Q1_12,Q2_F","Q1_12,Q2_F","Q1_1_2,Q2_F","Q1_1_2,Q2_F","Q1_12,Q2_F","Q1_1_2,Q2_F","Q1_1_2,Q2_F","Q1_12,Q2_F"
27,"Q1_1,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_1,Q2_F","Q1_1,Q2_F","Q1_1_2,Q2_F","Q1_1_2,Q2_F","Q1_1,Q2_F","Q1_1_2,Q2_F","Q1_1_2,Q2_F","Q1_1,Q2_F"
28,"Q1_1_2,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_1_2,Q2_F","Q1_1_2,Q2_F","Q1_1_2,Q2_F","Q1_1_2,Q2_F","Q1_1_2,Q2_F","Q1_1_2,Q2_F","Q1_1_2,Q2_F","Q1_1_2,Q2_F"
29,"Q1_2_1,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_2_1,Q2_F","Q1_2_1,Q2_F","Q1_2_1,Q2_F","Q1_F,Q2_F","Q1_2_1,Q2_F","Q1_F,Q2_F","Q1_2_1,Q2_F","Q1_2_1,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_2_1,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_2_1,Q2_F"
30,"Q1_c1,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_2_1,Q2_F","Q1_2_1,Q2_F","Q1_2_1,Q2_F","Q1_F,Q2_F","Q1_2_1,Q2_F","Q1_F,Q2_F","Q1_c1,Q2_F","Q1_c1,Q2_F","Q1_1_2,Q2_F","Q1_1_2,Q2_F","Q1_c1,Q2_F","Q1_1_2,Q2_F","Q1_1_2,Q2_F","Q1_c1,Q2_F"
31,"Q1_F,Q2_12","Q1_F,Q2_F","Q1_F,Q2_1_2","Q1_F,Q2_F","Q1_F,Q2_1_2","Q1_F,Q2_12","Q1_F,Q2_12","Q1_F,Q2_2_1","Q1_F,Q2_2_1","Q1_F,Q2_1_2","Q1_F,Q2_F","Q1_F,Q2_1_2","Q1_F,Q2_F","Q1_F,Q2_2_1","Q1_F,Q2_12","Q1_F,Q2_2_1","Q1_F,Q2_12"
32,"Q1_F,Q2_2","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_2","Q1_F,Q2_2","Q1_F,Q2_2_1","Q1_F,Q2_2_1","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_2_1","Q1_F,Q2_2","Q1_F,Q2_2_1","Q1_F,Q2_2"
33,"Q1_F,Q2_2_1","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_2_1","Q1_F,Q2_2_1","Q1_F,Q2_2_1","Q1_F,Q2_2_1","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_2_1","Q1_F,Q2_2_1","Q1_F,Q2_2_1","Q1_F,Q2_2_1"
34,"Q1_F,Q2_1_2","Q1_F,Q2_F","Q1_F,Q2_1_2","Q1_F,Q2_F","Q1_F,Q2_1_2","Q1_F,Q2_1_2","Q1_F,Q2_1_2","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_1_2","Q1_F,Q2_F","Q1_F,Q2_1_2","Q1_F,Q2_F","Q1_F,Q2_F","Q1_F,Q2_1_2","Q1_F,Q2_F","Q1_F,Q2_1_2"
35,"Q1_F,Q2_c1","Q1_F,Q2_F","Q1_F,Q2_1_2","Q1_F,Q2_F","Q1_F,Q2_1_2","Q1_F,Q2_c1","Q1_F,Q2_c1","Q1_F,Q2_2_1","Q1_F,Q2_2_1","Q1_F,Q2_1_2","Q1_F,Q2_F","Q1_F,Q2_1_2","Q1_F,Q2_F","Q1_F,Q2_2_1","Q1_F,Q2_c1","Q1_F,Q2_2_1","Q1_F,Q2_c1"
