number,,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15,case16
1,"Q1_1,Q2_2",Q2_c1,Q2_F,Q2_1_2,Q2_F,Q2_2,Q2_2,Q2_12,Q2_12,Q2_F,Q2_F,Q2_F,Q2_F,Q2_2_1,Q2_2,Q2_2_1,Q2_2
2,"Q1_1,Q2_2_1",Q2_2_1,Q2_2_1,Q2_F,Q2_F,Q2_2_1,Q2_2_1,Q2_2_1,Q2_2_1,Q2_F,Q2_F,Q2_F,Q2_F,Q2_2_1,Q2_2_1,Q2_2_1,Q2_2_1
3,"Q1_1,Q2_1_2",Q2_F,Q2_1_2,Q2_1_2,Q2_1_2,Q2_1_2,Q2_1_2,Q2_1_2,Q2_F,Q2_1_2,Q2_F,Q2_1_2,Q2_F,Q2_F,Q2_1_2,Q2_F,Q2_1_2
4,"Q1_1_2,Q2_2",Q2_F,Q2_F,Q2_F,Q2_F,Q2_2,Q2_2,Q2_12,Q2_12,Q2_F,Q2_F,Q2_F,Q2_F,Q2_2_1,Q2_2,Q2_2_1,Q2_2
5,"Q1_1_2,Q2_2_1",Q2_F,Q2_F,Q2_F,Q2_F,Q2_2_1,Q2_2_1,Q2_F,Q2_2_1,Q2_F,Q2_F,Q2_F,Q2_F,Q2_2_1,Q2_2_1,Q2_2_1,Q2_2_1
6,"Q1_1_2,Q2_1_2",Q2_F,Q2_1_2,Q2_F,Q2_1_2,Q2_1_2,Q2_1_2,Q2_F,Q2_F,Q2_1_2,Q2_F,Q2_1_2,Q2_F,Q2_F,Q2_1_2,Q2_F,Q2_1_2
7,"Q1_2_1,Q2_2",Q2_2_1,Q2_F,Q2_F,Q2_F,Q2_2,Q2_2,Q2_2_1,Q2_2_1,Q2_F,Q2_F,Q2_F,Q2_2_1,Q2_2_1,Q2_2,Q2_2_1,Q2_2
8,"Q1_2_1,Q2_2_1",Q2_2_1,Q2_2_1,Q2_F,Q2_F,Q2_2_1,Q2_2_1,Q2_2_1,Q2_2_1,Q2_F,Q2_F,Q2_2_1,Q2_2_1,Q2_2_1,Q2_2_1,Q2_2_1,Q2_2_1
9,"Q1_2_1,Q2_1_2",Q2_F,Q2_F,Q2_F,Q2_1_2,Q2_1_2,Q2_1_2,Q2_2_1,Q2_F,Q2_1_2,Q2_F,Q2_1_2,Q2_F,Q2_F,Q2_1_2,Q2_F,Q2_1_2
10,"Q1_1,Q2_12",Q2_c1,Q2_12,Q2_1_2,Q2_1_2,Q2_12,Q2_12,Q2_12,Q2_12,Q2_1_2,Q2_F,Q2_12,Q2_F,Q2_2_1,Q2_12,Q2_2_1,Q2_12
11,"Q1_1_2,Q2_12",Q2_F,Q2_1_2,Q2_F,Q2_1_2,Q2_12,Q2_12,Q2_12,Q2_12,Q2_1_2,Q2_F,Q2_1_2,Q2_F,Q2_2_1,Q2_12,Q2_2_1,Q2_12
12,"Q1_2_1,Q2_12",Q2_2_1,Q2_12,Q2_F,Q2_1_2,Q2_12,Q2_12,Q2_2_1,Q2_2_1,Q2_1_2,Q2_F,Q2_12,Q2_2_1,Q2_2_1,Q2_12,Q2_2_1,Q2_12
