number,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15,case16
1,5,8,3,6,2,2,1,1,6,6,8,8,4,2,4,2
2,4,4,6,6,4,4,4,4,6,6,8,8,4,4,4,4
3,3,3,3,3,3,3,3,8,3,6,3,6,6,3,6,3
4,6,6,6,6,2,2,1,1,6,6,6,6,4,2,4,2
5,6,6,6,6,4,4,4,4,6,6,6,6,4,4,4,4
6,3,3,8,3,3,3,3,8,3,6,3,6,6,3,6,3
7,8,8,6,6,2,2,4,4,6,6,8,4,4,2,4,2
8,8,4,6,6,4,4,4,4,6,6,8,4,4,4,4,4
9,6,3,8,3,3,3,8,8,3,6,3,6,6,3,6,3
10,5,1,3,3,1,1,1,1,3,6,1,8,4,1,4,1
11,8,3,8,3,1,1,1,1,3,6,3,8,4,1,4,1
12,4,1,8,3,1,1,4,4,3,6,1,4,4,1,4,1
13,5,8,6,6,2,2,4,1,6,6,8,8,4,2,4,2
14,4,4,6,6,4,4,4,4,6,6,8,8,4,4,4,4
15,6,3,8,3,3,3,8,8,3,6,3,6,6,3,6,3
16,5,1,8,3,1,1,4,1,3,6,1,8,4,1,4,1
17,5,1,8,3,1,1,4,1,3,6,1,8,4,1,4,1
18,5,8,6,6,2,2,4,1,6,6,8,8,4,2,4,2
19,6,3,8,3,3,3,8,8,3,6,3,6,6,3,6,3
20,4,4,6,6,4,4,4,4,6,6,8,8,4,4,4,4
21,5,1,6,3,5,5,4,1,3,6,1,8,4,5,4,5
22,5,1,8,3,5,5,4,1,3,6,1,8,4,5,4,5
23,5,1,3,3,5,5,1,1,3,6,1,8,4,5,4,5
24,8,3,8,3,5,5,1,1,3,6,3,8,4,5,4,5
25,4,1,8,3,5,5,4,4,3,6,1,4,4,5,4,5
